city,date,fare,ride_id
Lake Jonathanshire,14-01-2018,13.83,5739410935873
South Michelleport,04-03-2018,30.24,2343912425577
Port Samanthamouth,24-02-2018,33.44,2005065760003
Rodneyfort,10-02-2018,23.44,5149245426178
South Jack,06-03-2018,34.58,3908451377344
South Latoya,11-03-2018,9.52,1994999424437
New Paulville,27-02-2018,43.25,793208410091
Simpsonburgh,26-04-2018,35.98,111953927754
South Karenland,08-01-2018,35.09,7995623208694
North Jasmine,09-03-2018,42.81,5327642267789
New Kimberlyborough,07-02-2018,9.34,7992781920789
West Angela,12-01-2018,26.86,4820052223501
Rodneyfort,02-03-2018,44.26,2494064867705
West Angela,10-01-2018,12.74,2108723916092
Roberthaven,04-05-2018,25.66,1026197778354
North Jason,28-03-2018,9.19,7007022521141
Williamsview,03-01-2018,18.93,1979492913169
Leahton,26-02-2018,8.85,6966668662612
West Anthony,06-03-2018,10.02,9396763280782
New Kimberlyborough,25-04-2018,29.67,4823568522144
Roberthaven,24-02-2018,7.8,2180566685151
New Paulton,01-05-2018,8.28,8527101897862
West Patrickchester,19-03-2018,40.86,898889456779
Deanville,25-04-2018,41.52,6055928921559
West Josephberg,19-02-2018,36.39,3322126516683
West Samuelburgh,03-05-2018,41.12,7330842806458
West Heidi,14-03-2018,24.4,4908573010166
Loganberg,01-04-2018,8.23,678728883160
Huntermouth,10-02-2018,25.79,1880379662035
South Latoya,11-01-2018,27.41,8662301917375
New Paulville,18-03-2018,25.05,5031803855561
Grahamburgh,15-01-2018,40.69,307021255892
Port Frank,02-02-2018,41.47,6746609056348
East Kaylahaven,28-02-2018,25.96,3662521920044
Rodneyfort,03-02-2018,44.86,2325699544245
South Karenland,12-02-2018,36.01,4015929454731
West Robert,15-02-2018,12.28,1442502460354
North Markport,18-02-2018,38.09,925012921771
Williamsview,12-03-2018,8.35,1940440908308
Richardfort,24-02-2018,13.93,5628545007794
New Kimberlyborough,14-03-2018,27.9,6750798028086
Reynoldsfurt,25-03-2018,34.06,6604420154219
South Karenland,08-05-2018,41.33,5688921852912
Rodneyfort,25-04-2018,21.7,8534600667414
Justinberg,23-04-2018,14.65,9878231118211
West Josephberg,05-03-2018,12.91,102684585771
South Karenland,03-03-2018,37.3,4104001937078
Leahton,05-05-2018,17.05,5846586406028
Martinezhaven,19-03-2018,5.3,264337981979
North Jason,03-03-2018,28.02,2670554129601
Jerryton,03-03-2018,28.08,6003411645536
Lake Scottton,18-02-2018,25.02,3909343123179
South Evanton,14-02-2018,42.5,9953662403430
Rogerston,08-05-2018,32.69,1643407853276
West Samuelburgh,02-05-2018,38.77,2931685225267
West Ericstad,24-04-2018,7.31,4292477885655
